id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,2.2836049883860907
1,0,0,-200,2.4069526191361446
2,0,0,-200,2.5367922304519905
3,0,0,-200,2.6734655055213024
4,400,0,200,2.8173321108574196
5,400,0,-200,2.968770642790175
6,400,0,200,3.1281796237720227
7,400,400,0,3.295978551121336
8,0,0,200,3.4726090009627186
9,0,0,200,3.658535790269437
10,700,0,0,3.8542482000659826
11,700,0,0,4.060261263009715
12,700,0,0,4.27711711873996
13,700,0,0,4.50538644056127
14,700,0,0,4.74566993721528
15,700,0,0,4.9985999336931854
